                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7623,                 2.0487,                 2.2043,                0.40798,                 0.3622,                0.35281,                0.14301,                 2.0685,                 2.3223,                 2.5643,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8216,                 2.0843,                 2.2695,                 0.4014,                0.25197,                0.27613,                0.10608,                 2.0932,                  2.502,                 2.5545,               0.001307,               0.001307,               0.001307
                     37,                  1.783,                 2.0511,                 2.2352,                0.32641,                 0.3937,                0.30991,                0.14123,                 2.1121,                 2.5884,                 2.5979,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7148,                 1.9861,                 2.1723,                0.31646,                0.33903,                0.28156,                  0.136,                 2.0372,                 2.4111,                 2.4796,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7575,                 1.9681,                 2.1315,                0.41053,                0.33071,                 0.3151,                 0.1392,                 2.0321,                 2.3978,                 2.5438,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6655,                 1.9806,                 2.0945,                0.51212,                0.35433,                0.38357,                0.16361,                 2.0248,                 2.2894,                 2.5272,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6774,                 1.9421,                 2.1071,                0.34173,                0.28346,                0.28034,                0.14326,                 1.9922,                  2.388,                 2.4866,               0.001208,               0.001208,               0.001208
                     42,                 1.6529,                 1.8415,                 2.0914,                0.40695,                 0.4252,                0.41281,                0.18958,                 1.9507,                 2.2543,                 2.4376,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6394,                 1.8423,                 2.0811,                0.43577,                0.38314,                 0.3796,                0.17499,                 1.9666,                 2.2144,                 2.4618,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6336,                 1.8153,                  2.062,                0.43754,                0.38583,                0.35106,                 0.1564,                 1.9812,                 2.2792,                 2.4585,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6467,                 1.8344,                 2.0892,                0.33627,                 0.3032,                0.27814,                0.13821,                 1.9827,                 2.5227,                 2.4421,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.597,                 1.8082,                 2.0382,                0.40745,                0.35433,                0.31572,                0.13484,                 1.9747,                  2.348,                 2.4356,               0.001109,               0.001109,               0.001109
                     47,                 1.6032,                 1.8192,                 2.0347,                0.48766,                0.35976,                0.33816,                0.15106,                  2.009,                 2.3839,                 2.4734,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5948,                 1.7538,                 2.0201,                0.48696,                0.32283,                0.36715,                0.17275,                 1.9269,                 2.3008,                 2.4309,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5535,                 1.7648,                 1.9947,                0.56117,                0.35433,                0.41142,                0.17947,                  2.066,                 2.2241,                 2.4722,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5508,                 1.7268,                 1.9842,                0.38625,                 0.3937,                0.36541,                0.16636,                 2.0384,                 2.3424,                 2.5243,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.558,                 1.7379,                 1.9879,                0.35877,                0.35433,                0.30353,                0.15908,                 1.9515,                 2.5795,                 2.3916,                0.00101,                0.00101,                0.00101
                     52,                 1.5274,                 1.7153,                 1.9613,                0.53765,                0.34646,                0.41411,                0.19508,                   1.92,                 2.2089,                 2.3979,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.544,                 1.6624,                 1.9545,                0.37974,                0.38583,                0.35364,                0.18069,                 1.9305,                 2.1869,                 2.3992,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5388,                 1.6308,                 1.9405,                0.60974,                0.38583,                0.41499,                0.19123,                 1.9815,                  2.248,                 2.4232,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5164,                 1.6186,                 1.9367,                0.46528,                 0.4659,                0.45123,                0.20812,                 2.0035,                 2.0777,                 2.4425,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5195,                  1.705,                 1.9351,                0.49243,                0.37008,                0.40762,                0.19799,                 1.9268,                 2.1076,                 2.4443,               0.000911,               0.000911,               0.000911
                     57,                 1.4801,                 1.6201,                  1.915,                 0.4603,                0.37795,                0.38729,                 0.1992,                 1.9391,                 2.2011,                 2.4401,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4922,                 1.6483,                 1.9221,                0.41693,                 0.4252,                0.42458,                0.21031,                 1.9712,                  2.033,                 2.4438,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4392,                 1.5686,                  1.869,                0.50815,                0.44744,                 0.4606,                0.22222,                 1.9817,                 2.1127,                 2.4351,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4803,                 1.5564,                 1.8798,                0.50837,                 0.3937,                0.38732,                0.17617,                 1.9741,                 2.3855,                 2.4696,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4464,                 1.5539,                 1.8564,                0.45067,                0.45865,                0.41306,                0.18982,                 2.0391,                 2.0527,                 2.5043,               0.000812,               0.000812,               0.000812
                     62,                 1.4301,                 1.5187,                 1.8564,                0.42128,                0.43307,                0.38781,                0.18374,                 1.9596,                  2.336,                 2.4338,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4486,                 1.5114,                 1.8417,                0.54689,                0.46457,                0.46063,                0.22417,                 1.9534,                  1.975,                 2.4299,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4612,                 1.5471,                 1.8783,                0.48293,                0.44094,                0.44407,                0.19979,                 2.0001,                 2.0208,                 2.4652,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4137,                 1.4899,                 1.8279,                0.46998,                0.47244,                0.44721,                0.20991,                 1.9588,                 2.0518,                 2.4635,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4249,                 1.5333,                 1.8529,                0.53202,                 0.3622,                0.36868,                0.18647,                 1.9308,                 2.1685,                 2.3961,               0.000713,               0.000713,               0.000713
                     67,                  1.432,                 1.4789,                 1.8478,                0.56161,                0.44882,                0.45842,                 0.2307,                 1.8861,                 1.9974,                 2.3422,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3499,                 1.3917,                 1.7717,                0.62802,                0.35433,                0.40582,                0.20618,                 1.9302,                 2.1657,                 2.3966,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3454,                 1.4157,                 1.7874,                0.47132,                0.40157,                0.41133,                0.19483,                 1.9052,                 2.1081,                  2.447,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3725,                 1.4225,                 1.7635,                0.51953,                0.41732,                 0.4306,                0.21084,                 1.9433,                 2.0108,                 2.4559,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3254,                 1.4495,                  1.784,                0.58317,                0.43307,                0.47042,                0.22753,                 1.9172,                 2.0265,                 2.4073,               0.000614,               0.000614,               0.000614
                     72,                 1.3539,                 1.4165,                 1.7765,                0.56015,                0.43307,                0.42711,                0.20003,                  1.869,                 2.0545,                 2.3637,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3068,                 1.3826,                 1.7539,                0.51643,                0.47092,                 0.4453,                0.21857,                 1.9078,                 2.0274,                 2.4333,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3367,                 1.3467,                 1.7557,                0.46519,                0.38583,                0.40564,                0.21232,                 1.9154,                  2.105,                 2.4247,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3431,                 1.3945,                 1.7739,                0.66727,                0.34741,                0.42973,                0.21524,                 1.9755,                 2.1057,                 2.4274,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3099,                 1.3558,                 1.7465,                 0.5746,                0.46457,                0.46651,                0.22533,                 1.8552,                 2.0322,                 2.3723,               0.000515,               0.000515,               0.000515
                     77,                 1.3172,                 1.3324,                 1.7161,                0.49892,                0.48031,                0.45178,                 0.2185,                 1.9931,                 2.0062,                 2.4909,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2957,                 1.3116,                 1.6967,                 0.6463,                 0.4252,                0.47463,                0.22465,                 1.9608,                      2,                 2.4277,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2969,                 1.3139,                  1.699,                0.60374,                0.43307,                0.45377,                0.22554,                 1.9047,                 2.0813,                 2.3931,              0.0004556,              0.0004556,              0.0004556
                     80,                    1.3,                 1.2981,                  1.719,                0.52913,                 0.4955,                0.47337,                 0.2322,                 1.9362,                 1.9752,                  2.434,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2843,                  1.322,                 1.7124,                0.53771,                 0.4252,                0.45142,                0.23136,                 1.8869,                 1.9803,                 2.3964,               0.000416,               0.000416,               0.000416
                     82,                 1.2655,                 1.2591,                  1.668,                0.47627,                0.45669,                 0.4356,                 0.2173,                 1.9078,                 2.0234,                 2.4035,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2435,                 1.2844,                 1.6844,                0.59292,                 0.4473,                0.46364,                0.24156,                 1.8814,                 1.9618,                 2.4097,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2561,                 1.2798,                 1.6836,                0.52721,                0.37795,                0.38755,                0.20078,                 1.9306,                  2.171,                 2.4679,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2577,                 1.2758,                 1.6654,                 0.6039,                0.42019,                0.45379,                0.22846,                 1.9207,                 2.0381,                 2.4502,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.247,                 1.2631,                 1.6812,                0.57072,                0.40945,                0.43643,                 0.2221,                 1.9348,                 2.0999,                 2.4776,               0.000317,               0.000317,               0.000317
                     87,                 1.2141,                 1.1993,                 1.6444,                0.61323,                0.41732,                 0.4572,                0.22975,                  1.925,                 2.0961,                 2.4293,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2219,                 1.2302,                 1.6632,                0.58245,                0.44882,                0.47459,                0.23691,                 1.9004,                 1.8938,                 2.4518,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.211,                 1.2154,                 1.6501,                0.55977,                0.44094,                0.44345,                 0.2262,                 1.9134,                 2.0088,                 2.4436,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2075,                 1.1957,                   1.62,                0.59477,                0.44882,                0.46205,                0.23475,                 1.8941,                 1.9214,                 2.4156,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0863,                 1.0707,                 1.5406,                0.57472,                0.40437,                0.42862,                0.21657,                 1.8924,                 2.1205,                 2.4491,               0.000218,               0.000218,               0.000218
                     92,                 1.0394,                0.96509,                 1.5018,                0.59596,                0.50394,                0.47702,                0.23335,                 1.8882,                  1.911,                  2.475,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0099,                0.90831,                  1.469,                0.60454,                0.44882,                0.47264,                 0.2298,                 1.8814,                 1.9755,                 2.4348,              0.0001784,              0.0001784,              0.0001784
                     94,                0.99966,                0.89308,                 1.4601,                0.69316,                0.38583,                0.44843,                0.22123,                 1.8952,                 2.0743,                 2.4592,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96356,                0.85841,                 1.4285,                0.64086,                0.43558,                0.45627,                0.22676,                 1.8619,                 2.0516,                 2.4605,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.9756,                0.89036,                 1.4466,                0.53759,                0.47244,                0.46708,                0.23825,                 1.8865,                 2.0307,                 2.4904,               0.000119,               0.000119,               0.000119
                     97,                 0.9613,                0.85489,                 1.4326,                0.57799,                0.40945,                0.43925,                0.22736,                 1.8358,                 2.0715,                 2.4284,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.96056,                0.86571,                 1.4261,                0.64057,                0.44906,                0.46125,                0.23904,                 1.8513,                 2.0357,                 2.4368,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.9541,                0.86715,                 1.4339,                0.67597,                0.41067,                 0.4784,                0.24303,                  1.868,                  2.002,                 2.4772,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.93572,                0.84775,                 1.4182,                  0.669,                0.44563,                  0.486,                0.24859,                 1.8562,                  2.003,                 2.4542,               3.98e-05,               3.98e-05,               3.98e-05
